d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
2,108,108,6,0.098,432.0,9316.118
2,111,110,6,0.1463,426.0,9188.438
2,114,114,6,0.104,431.0,9165.03
2,117,117,5,0.1111,433.0,8153.698
2,120,117,5,0.1215,433.0,8153.698
2,123,117,5,0.1603,433.0,8153.698
2,126,117,5,0.1413,433.0,8153.698
2,129,119,5,0.1235,427.0,8042.244
2,132,123,5,0.1697,432.0,8150.506
2,135,125,5,0.1298,409.0,7789.544
2,138,129,5,0.1343,431.0,8152.634
2,141,131,5,0.1369,391.0,7532.056
2,144,135,5,0.1786,435.0,8165.934
2,147,135,5,0.1538,435.0,8165.934
2,150,135,5,0.1696,435.0,8165.934
2,153,135,5,0.2033,435.0,8165.934
2,156,135,5,0.1615,435.0,8165.934
2,159,135,5,0.1741,435.0,8165.934
2,162,135,5,0.2252,435.0,8165.934
2,165,137,5,0.1704,429.0,8040.382
2,168,141,5,0.1763,434.0,8082.144
2,171,143,5,0.2078,411.0,7719.852
2,174,147,5,0.2183,433.0,7984.788
2,177,149,5,0.1903,393.0,7401.45
2,180,153,5,0.1862,437.0,8025.752
2,183,155,5,0.2437,375.0,7027.72
2,186,159,5,0.2069,436.0,7941.696
2,189,162,4,0.2173,438.0,6903.232
2,192,162,4,0.3037,438.0,6903.232
2,195,162,4,0.2745,438.0,6903.232
2,198,162,4,0.2433,438.0,6903.232
2,201,162,4,0.2732,438.0,6903.232
2,204,162,4,0.3079,438.0,6903.232
2,207,162,4,0.2943,438.0,6903.232
2,210,162,4,0.3021,438.0,6903.232
2,213,162,4,0.3424,438.0,6903.232
2,216,162,4,0.3149,438.0,6903.232
