d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
4,360,360,6,0.9317,1080.0,26211.64
4,366,364,6,0.1825,1065.0,25862.648
4,372,370,6,0.1446,1070.0,26089.28
4,378,378,6,0.1912,1040.0,25309.9
4,384,384,6,0.1747,1045.0,25350.864
4,390,390,5,0.1964,1050.0,23000.754
4,396,390,5,0.1576,1050.0,23000.754
4,402,390,5,0.2048,1050.0,23000.754
4,408,390,5,0.1964,1050.0,23000.754
4,414,390,5,0.1751,1050.0,23000.754
4,420,390,5,0.2084,1050.0,23000.754
4,426,394,5,0.1855,1035.0,22688.736
4,432,400,5,0.2421,1040.0,23024.96
4,438,408,5,0.1914,1010.0,22309.686
4,444,414,5,0.2521,1015.0,22681.288
4,450,420,5,0.2075,1020.0,23038.792
4,456,424,5,0.215,1005.0,22692.46
4,462,430,5,0.439,1010.0,23069.382
4,468,438,5,0.2452,980.0,22354.108
4,474,444,5,0.6899,985.0,22756.832
4,480,450,5,0.3756,990.0,23136.946
4,486,450,5,0.4781,990.0,23136.946
4,492,450,5,0.431,990.0,23136.946
4,498,450,5,0.487,990.0,23136.946
4,504,450,5,0.5291,990.0,23136.946
4,510,450,5,0.3013,990.0,23136.946
4,516,450,5,0.4689,990.0,23136.946
4,522,450,5,0.3426,990.0,23136.946
4,528,450,5,0.3516,990.0,23136.946
4,534,450,5,0.3396,990.0,23136.946
4,540,450,5,0.3801,990.0,23136.946
4,546,454,5,0.4038,975.0,22790.614
4,552,460,5,0.4781,980.0,23017.246
4,558,468,5,0.5118,950.0,21872.116
4,564,474,5,0.4909,955.0,22321.124
4,570,480,5,0.5548,960.0,22731.296
4,576,484,5,0.5541,945.0,22166.844
4,582,490,5,0.5913,950.0,22608.936
4,588,498,5,0.5354,920.0,21469.126
4,594,504,5,0.5628,925.0,22042.356
4,600,510,5,0.8162,930.0,22781.57
4,606,514,5,0.6397,915.0,22215.522
4,612,520,5,0.8809,920.0,22661.338
4,618,528,5,0.636,890.0,21516.74
4,624,534,5,0.7986,895.0,21962.29
4,630,540,4,0.5715,900.0,19658.464
4,636,540,4,0.6432,900.0,19658.464
4,642,540,4,0.623,900.0,19658.464
4,648,540,4,0.6259,900.0,19658.464
4,654,540,4,0.6021,900.0,19658.464
4,660,540,4,1.5394,900.0,19658.464
4,666,540,4,1.7831,900.0,19658.464
4,672,540,4,0.7729,900.0,19658.464
4,678,540,4,1.9701,900.0,19658.464
4,684,540,4,0.779,900.0,19658.464
4,690,540,4,1.6226,900.0,19658.464
4,696,540,4,0.9489,900.0,19658.464
4,702,540,4,1.816,900.0,19658.464
4,708,540,4,2.6621,900.0,19658.464
4,714,540,4,1.0491,900.0,19658.464
4,720,540,4,0.801,900.0,19658.464
