d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
1,36,36,6,0.1261,180.0,3934.672
1,37,37,6,0.082,179.0,3918.712
1,38,38,6,0.0845,180.0,3883.068
1,39,39,5,0.0866,181.0,3422.356
1,40,39,5,0.0897,181.0,3422.356
1,41,39,5,0.1242,181.0,3422.356
1,42,39,5,0.0956,181.0,3422.356
1,43,40,5,0.0965,180.0,3425.548
1,44,41,5,0.1328,181.0,3417.568
1,45,42,5,0.1376,182.0,3409.588
1,46,43,5,0.1054,181.0,3412.78
1,47,44,5,0.1084,182.0,3413.844
1,48,45,5,0.1163,183.0,3414.908
1,49,45,5,0.1548,183.0,3414.908
1,50,45,5,0.1173,183.0,3414.908
1,51,45,5,0.1266,183.0,3414.908
1,52,45,5,0.1311,183.0,3414.908
1,53,45,5,0.1352,183.0,3414.908
1,54,45,5,0.1911,183.0,3414.908
1,55,46,5,0.1645,182.0,3398.948
1,56,47,5,0.1724,183.0,3390.436
1,57,48,5,0.1484,184.0,3372.88
1,58,49,5,0.1917,183.0,3356.92
1,59,50,5,0.1577,184.0,3344.684
1,60,51,5,0.1587,185.0,3358.516
1,61,52,5,0.1658,184.0,3342.556
1,62,53,5,0.1684,185.0,3332.98
1,63,54,4,0.214,186.0,2872.8
1,64,54,4,0.1832,186.0,2872.8
1,65,54,4,0.1949,186.0,2872.8
1,66,54,4,0.1999,186.0,2872.8
1,67,54,4,0.2481,186.0,2872.8
1,68,54,4,0.2273,186.0,2872.8
1,69,54,4,0.2587,186.0,2872.8
1,70,54,4,0.2423,186.0,2872.8
1,71,54,4,0.3203,186.0,2872.8
1,72,54,4,0.278,186.0,2872.8
