d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
3,204,204,7,0.0929,748.0,17678.626
3,208,207,7,0.1017,736.0,17429.916
3,212,210,7,0.0929,742.0,17239.194
3,216,216,6,0.1304,736.0,15817.158
3,220,219,6,0.105,724.0,15665.006
3,224,222,6,0.1045,730.0,15762.628
3,228,222,6,0.1139,730.0,15762.628
3,232,222,6,0.1459,730.0,15762.628
3,236,222,6,0.1175,730.0,15762.628
3,240,222,6,0.112,730.0,15762.628
3,244,225,6,0.133,718.0,15611.806
3,248,228,6,0.1196,733.0,15782.046
3,252,234,6,0.1543,736.0,15801.464
3,256,237,6,0.1368,724.0,15551.424
3,260,234,5,0.1372,736.0,14435.82
3,264,234,5,0.1392,736.0,14435.82
3,268,234,5,0.1731,736.0,14435.82
3,272,234,5,0.1456,736.0,14435.82
3,276,234,5,0.14,736.0,14435.82
3,280,234,5,0.1453,736.0,14435.82
3,284,234,5,0.2134,736.0,14435.82
3,288,234,5,0.1729,736.0,14435.82
3,292,237,5,0.1644,724.0,14187.11
3,296,240,5,0.1824,730.0,14340.858
3,300,246,5,0.2098,733.0,14245.896
3,304,249,5,0.1844,721.0,13877.22
3,308,252,5,0.2074,736.0,14135.24
3,312,258,5,0.2207,730.0,14039.48
3,316,261,5,0.2614,718.0,13671.868
3,320,264,5,0.2399,733.0,13940.528
3,324,270,5,0.2681,736.0,13845.832
3,328,273,5,0.2527,724.0,13477.688
3,332,276,5,0.2935,730.0,13750.072
3,336,282,5,0.3012,733.0,13452.152
3,340,285,5,0.3194,721.0,13084.008
3,344,288,4,0.3044,736.0,12174.288
3,348,288,4,0.3528,736.0,12174.288
3,352,288,4,0.3331,736.0,12174.288
3,356,288,4,0.3534,736.0,12174.288
3,360,288,4,0.3608,736.0,12174.288
3,364,288,4,0.4433,736.0,12174.288
3,368,288,4,0.4676,736.0,12174.288
3,372,288,4,0.4224,736.0,12174.288
3,376,288,4,0.4227,736.0,12174.288
3,380,288,4,0.4846,736.0,12174.288
3,384,288,4,0.4562,736.0,12174.288
3,388,288,4,0.4603,736.0,12174.288
3,392,288,4,0.5257,736.0,12174.288
3,396,288,4,0.5276,736.0,12174.288
3,400,291,4,0.5176,724.0,11860.408
3,404,294,4,0.5209,730.0,12190.248
3,408,300,4,0.5325,733.0,12154.604
