d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
2,102,102,7,0.0723,408.0,9795.184
2,105,104,7,0.0809,402.0,9671.228
2,108,108,6,0.0751,402.0,8758.316
2,111,111,6,0.0743,399.0,8729.056
2,114,111,6,0.0795,399.0,8729.056
2,117,111,6,0.1156,399.0,8729.056
2,120,111,6,0.0849,399.0,8729.056
2,123,113,6,0.0836,393.0,8659.364
2,126,117,6,0.0879,403.0,8744.484
2,129,119,6,0.0906,375.0,8335.11
2,132,117,5,0.1261,403.0,7932.652
2,135,117,5,0.0933,403.0,7932.652
2,138,117,5,0.0984,403.0,7932.652
2,141,117,5,0.1026,403.0,7932.652
2,144,117,5,0.106,403.0,7932.652
2,147,119,5,0.1411,397.0,7808.43
2,150,123,5,0.1187,402.0,7833.966
2,153,125,5,0.1079,379.0,7491.624
2,156,129,5,0.1154,401.0,7724.906
2,159,131,5,0.122,361.0,7170.03
2,162,135,5,0.1597,405.0,7624.092
2,165,137,5,0.1271,343.0,6793.108
2,168,141,5,0.1658,404.0,7459.704
2,171,144,4,0.1343,406.0,6681.654
2,174,144,4,0.1342,406.0,6681.654
2,177,144,4,0.1896,406.0,6681.654
2,180,144,4,0.1417,406.0,6681.654
2,183,144,4,0.1428,406.0,6681.654
2,186,144,4,0.1572,406.0,6681.654
2,189,144,4,0.1601,406.0,6681.654
2,192,144,4,0.2079,406.0,6681.654
2,195,144,4,0.1875,406.0,6681.654
2,198,144,4,0.1823,406.0,6681.654
2,201,146,4,0.1983,400.0,6521.788
2,204,150,4,0.2351,405.0,6656.65
2,207,152,4,0.2112,382.0,6128.374
