d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
1,34,34,7,0.0822,170.0,4208.12
1,35,35,7,0.0591,169.0,4165.56
1,36,36,6,0.0591,168.0,3758.58
1,37,37,6,0.0653,167.0,3745.812
1,38,37,6,0.1036,167.0,3745.812
1,39,37,6,0.0622,167.0,3745.812
1,40,37,6,0.0667,167.0,3745.812
1,41,38,6,0.0662,168.0,3746.876
1,42,39,6,0.0698,169.0,3747.94
1,43,39,5,0.0888,169.0,3353.196
1,44,39,5,0.0732,169.0,3353.196
1,45,39,5,0.1152,169.0,3353.196
1,46,39,5,0.0808,169.0,3353.196
1,47,39,5,0.0824,169.0,3353.196
1,48,39,5,0.0999,169.0,3353.196
1,49,40,5,0.085,168.0,3337.236
1,50,41,5,0.0911,169.0,3319.68
1,51,42,5,0.0913,170.0,3294.144
1,52,43,5,0.1392,169.0,3276.588
1,53,44,5,0.0959,170.0,3257.968
1,54,45,5,0.1004,171.0,3240.412
1,55,46,5,0.1246,170.0,3224.452
1,56,47,5,0.1043,171.0,3215.408
1,57,48,4,0.1136,172.0,2820.132
1,58,48,4,0.1136,172.0,2820.132
1,59,48,4,0.1444,172.0,2820.132
1,60,48,4,0.1139,172.0,2820.132
1,61,48,4,0.116,172.0,2820.132
1,62,48,4,0.1298,172.0,2820.132
1,63,48,4,0.1225,172.0,2820.132
1,64,48,4,0.1303,172.0,2820.132
1,65,48,4,0.1443,172.0,2820.132
1,66,48,4,0.1826,172.0,2820.132
1,67,49,4,0.1613,171.0,2823.324
1,68,50,4,0.1542,172.0,2797.256
